LipidGroup,BH1,BH2,BH3,BH4,BN2,BN3,BN5,BN6,CH1,CH2,CH3,CH5,CN1,CN2,CN3,CN5
DG(15:3)+NH4,10355243.45,19325175.61,16149043.31,29222426.96,5859237.163,17831519.08,15866801.63,2413759.035,6832188.442,55966339.77,1494144,65236241.55,8039949.7,13101861.51,13477666.57,5732415.305
DG(15:3)+H,6428837.669,5281736.217,1178112.983,2036767.515,3263137.2,14046164.71,15084432.31,1229299.097,1373441.202,7044824.327,5242428.025,3529019.57,872980460.4,492007020.8,7153262.046,5358234.142
DG(15:3)+NH4,38211123.83,2805940.184,3361796.12,6722959.827,3878744.41,2053250.443,713462.1225,20387115.53,6871162.208,3486693.685,19309232.13,3012692.012,7708973.313,12720218.06,44447447.2,4016943.171
DG(15:3)+H,149435577,5546077.812,9030063.982,8034723.897,150467390.4,3481117.646,3385698.014,7966843.802,32114951.92,3823387.454,6556356.862,11436511.45,2899252.687,10364886.81,1654938.161,4318181.064
DG(15:4)+H,1194524.287,3329731.248,3288088.398,1498996.298,1107691.075,1609071.997,2840722.561,1438277.203,1669775.591,3436327.29,1272841.156,1626931.402,3838257.883,2897950.071,1481991.259,3268037.112
DG(15:4)+H,5032468.098,696260.8722,3142147.32,917746.7943,1430190.378,4142334.283,5041376.119,284794.2771,1441827.891,5428065.323,1449760.747,3497225.646,2266193.499,6684192.643,4450875.499,1377153.613
DG(15:4)+H,685441.7925,0,0,1465436.824,0,919627.0125,702230.1804,1617867.67,0,1966333.941,321982.1844,638685.5472,2239622.684,550656.171,1995111.046,2452379.005
DG(15:4)+H,7991274.932,5330637.153,4959474.572,4441546.233,11120427.2,2034574.06,5807276.883,4056628.913,8332785.327,9071413.342,23194358.73,3469572.547,2317199.657,9204323.83,2625975.702,7159178.951
DG(17:3)+H,155976.2955,1676126.345,5524181.003,2246872.209,95201.9172,781914.0552,2743563.142,3193082.955,2440182.05,993512.9844,930066.522,1940087.115,1292544.969,1819040.926,1525279.313,3264044.263
DG(17:3)+NH4,15961829.32,15283359.36,1974817.545,5325635.129,9378715.625,16913272.69,1386263.103,14602326.97,12503193.11,3887803.335,13869640.27,12041802.18,27837412.81,2663327.907,20689465.85,10627569.44
DG(17:3)+NH4,3711973.994,82283430.8,17303265.23,8939415.254,1706156.62,4678542.828,4485733.697,11563295.88,13985063.06,9586904.981,56573342.38,2541906.717,13847835.43,8546703.922,62078626.68,3096708.317
DG(17:3)+NH4,166477582.2,4065935.574,49047874.35,2936229.36,6273196.524,863825.4624,2404078.925,7192876.181,2520238.894,1661829.942,3309109.822,299535.8766,79184528.54,76987885.32,9305169.343,343738848.5
DG(17:3)+NH4,965161.323,7430531.006,1693781.719,6888759.356,4414068.572,5997574.827,5102299.56,4987544.901,10006436.74,6935618.019,4159844.425,4179173.267,9950542.822,2050240.351,23574238.73,13021343.97
DG(17:3)+H,302093.2548,560237.8236,2394248.47,6571912.766,1875926.684,3032980.458,10097609.39,607782.3117,1617196.488,3433214.866,1476019.633,1057696.013,276790.5621,9042626.447,2819720.974,5644066.385
DG(17:3)+NH4,3873674.069,945529.6515,1108804.363,4336688.205,2096973.555,7512077.854,11783516.49,4378769.994,1763512.508,5071760.221,2895103.843,4311370.108,3691020.855,2743181.153,3290019.012,8609525.639
DG(18:0e)+H,34993222.17,18766019.53,17465899.73,20967036.13,21248848.69,27803583.9,33257174.06,27877527.6,33168083.35,24228221.8,27494336.79,38213990,24001163.53,23676235.51,30114561.4,33652724.27
DG(18:2)+NH4,9953729.2,11812778.94,6106100.883,16159102.21,9484490.437,7671125.15,9479969.252,515462.3175,5122753.8,3382756.78,3264052.599,6038606.606,6922039.332,41598521.31,6642480.381,6715185.231
DG(18:2)+NH4,6126939.274,2225685.766,5100115.609,746037.3582,1111601.992,431647.02,8907482.213,10291480.38,7866029.989,3419082.422,467958.5397,4990595.648,10595897.26,9236257.365,1993936.687,3280258.419
DG(18:2)+NH4,4343351.22,5506074.665,8429506.513,6683073.054,2958355.565,2146003.23,1791488.695,7222527.257,3918483.651,3852317.984,7981083.019,3718381.505,13204234.68,1360619.955,3866882.142,11160123.15
DG(18:3)+NH4,6932863.71,9982694.67,2421017.208,4140920.233,7071156.916,13693508.1,3096786.482,39737382.75,2890883.61,56522453.9,6855695.346,13230331.54,3162786.422,5756594.612,5986193.34,4117870.297
DG(18:3e)+H,39641711.52,18819217.67,13721803.68,17116112.73,26720316.18,28201392.74,40265747.06,29206643.37,32797759.15,21707102.36,28998007.68,31485997.15,24287847.13,33581355.92,28574175.98,41964243.79
DG(18:4)+H,2823102.861,1383581.996,1209426.076,375800.5848,1712918.571,386028.3552,4213723.268,2350645.224,3377510.236,1626958.658,433661.3955,10443878.14,24618840.8,1933794.718,2473644.469,1926406.297
DG(18:4)+H,3805285.055,1533506.648,2769490.244,841724.6415,1344004.749,1392504.107,1681296.474,5030651.496,3854403.673,3788010.841,1220392.255,5754028.216,877099.8687,8290185.349,2869531.319,3334958.876
DG(18:4)+H,1826326.993,1364622.099,3439351.353,1617850.082,1541290.303,459150.0417,5839250.308,1536824.223,1221212.84,260102.9004,5521148.899,4358453.872,1322973.828,101153.0022,1896421.121,3016726.953
